MovieID;Title;KoreanTitle;Plot;ReleaseYear;RunningTime;GradeID;GradeInKoreaID;Poster;ReleaseDateInKorea;BoxOfficeWWGross;BoxOfficeUSGross;Budget
5641;"Incident in New Baghdad";;"U.S. Army veteran Ethan McCord recounts his life-changing experiences at the scene of one of the most notorious events of the Iraq War: the slaying of two Reuters journalists, along with a group of mostly unarmed men, on the streets of Baghdad by American attack helicopters in July 2007. ";2011;22;6;NULL;IncidentinNewBaghdad.jpg;1900-01-01;0;0;0
5642;"The Tsunami and the Cherry Blossom";"쓰나미, 벚꽃 그리고 희망";"Survivors in the areas hardest hit by Japan‘s recent tsunami find the courage to revive and rebuild as cherry blossom season begins. ";2011;39;6;NULL;TheTsunamiandtheCherryBlossom.jpg;1900-01-01;0;0;0
5643;Undefeated;언디피티드;"Chronicles three underprivileged students from inner-city Memphis and their volunteer coach who tries to help them beat the odds on and off the field. ";2011;113;2;NULL;Undefeated.jpg;1900-01-01;0;0;0
5644;"Hell and Back Again";"헬 앤 백 어게인";"What does it mean to lead men in war? What does it mean to come home? Hell and Back Again is a cinematically revolutionary film that asks and answers these questions with a power and intimacy no previous film about the conflict in Afghanistan has been able to achieve. It is a masterpiece in the cinema of war. ";2011;88;6;NULL;HellandBackAgain.jpg;1900-01-01;0;0;0
5645;"If a Tree Falls: A Story of the Earth Liberation Front";"만약 나무가 쓰러지면: 지구 해방 전선 이야기";"A rare behind-the-curtain look at the Earth Liberation Front, the radical environmental group that the FBI calls America‘s ‘number one domestic terrorist threat";2011;85;7;NULL;IfaTreeFallsAStoryoftheEarthLiberationFront.jpg;1900-01-01;0;0;0
5646;"Paradise Lost 3: Purgatory";"파라다이스 로스트 3: 퍼거토리";"A further followup of the case of the West Memphis Three and the decades long fight to exonerate them that finally gained traction with new DNA evidence. ";2011;121;7;NULL;ParadiseLost3Purgatory.jpg;1900-01-01;0;0;0
5647;Pina;피나;"A tribute to the late German choreographer, Pina Bausch, as her dancers perform her most famous creations. ";2011;103;7;NULL;Pina.jpg;1900-01-01;0;0;0
5648;Bullhead;불헤드;"Sint-Truiden, Belgium. Jacky, a young cattle farmer who is constantly pumped on steroids and hormones, is approached by a veterinarian to make a deal with a notorious beef trader. ";2011;129;1;NULL;Bullhead.jpg;1900-01-01;0;0;0
5649;Footnote;"꼬장꼬장 슈콜닉 교수의 남모를 비밀";"Eliezer and Uriel Shkolnik are father and son as well as rival professors in Talmudic Studies. When both men learn that Eliezer will be lauded for his work, their complicated relationship reaches a new peak. ";2011;103;3;NULL;Footnote.jpg;2016-02-11;2007758;2007758;0
5650;"In Darkness";"어둠 속의 빛";"A dramatization of one man‘s rescue of Jewish refugees in the German-occupied Polish city of Lvov. ";2011;143;1;NULL;InDarkness.jpg;2013-04-11;5576725;1041455;0
5651;"Monsieur Lazhar";"라자르 선생님";"At a Montreal public grade school, an Algerian immigrant is hired to replace a popular teacher who committed suicide in her classroom. While helping his students deal with their grief, his own recent loss is revealed. ";2011;94;2;NULL;MonsieurLazhar.jpg;2013-05-09;6581915;2009517;0
5652;Rango;랭고;"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff. ";2011;104;2;NULL;Rango.jpg;2011-03-03;245724603;123477607;135000000
5653;"Chico & Rita";"치코와 리타";"Chico is a young piano player with big dreams. Rita is a beautiful singer with an extraordinary voice. Music and romantic desire unites them, but their journey - in the tradition of the Latin ballad, the bolero - brings heartache and torment. ";2010;94;7;NULL;ChicoRita.jpg;2012-01-05;2234457;350524;0
5654;"A Cat in Paris";"파리의 도둑고양이";"In Paris, a cat who lives a secret life as a cat burglar‘s aide must come to the rescue of Zoe, the little girl he lives with, after she falls into a gangster‘s clutches.";2010;70;3;NULL;ACatinParis.jpg;2012-04-26;309973;309973;0
5655;"Puss in Boots";"장화신은 고양이";"An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town. ";2011;90;3;NULL;PussinBoots.jpg;2012-01-12;554987477;149260504;130000000
5656;"Kung Fu Panda 2";쿵푸팬더2;"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past. ";2011;91;3;NULL;KungFuPanda2.jpg;2011-05-26;665692281;165249063;150000000
5657;"The Lost Thing";분실물;"A boy finds a strange creature on a beach, and decides to find a home for it in a world where everyone believes there are far more important things to pay attention to.";2011;15;6;NULL;TheLostThing.jpg;1900-01-01;0;0;0
5658;"Day & Night";"낮과 밤";"The personifications of daytime and nighttime learn to get along. ";2010;6;4;NULL;DayandNight.jpg;1900-01-01;0;0;0
5659;"The Gruffalo";;"A cunning mouse goes for a walk in the forest and outwits a succession of predators. ";2009;27;6;NULL;TheGruffalo.jpg;1900-01-01;0;0;0
5660;"Let‘s Pollute";;"In the spirit of 50‘s & 60‘s educational films, ‘Let‘s Pollute‘ is a modern satire on how pollution is our heritage and keeps our economy growing strong, while instructing us how to be better polluters for a better blighted tomorrow. ";2009;6;6;NULL;LetsPollute.jpg;1900-01-01;0;0;0
5661;"Madagascar, a Journey Diary";;"A journey diary that redraws the trip of a European traveler confronted with Famadihana customs. ";2010;12;6;NULL;MadagascaraJourneyDiary.jpg;1900-01-01;0;0;0
5662;"God of Love";"갓 오브 러브";"A lovestruck, lounge-singing darts champion finds his prayers are answered -- literally -- when he mysteriously receives a box of love-inducing darts. ";2010;18;6;NULL;GodofLove.jpg;1900-01-01;0;0;0
5663;"The Confession";;"Quiet and sincere 9-year-old Sam is worried about making his first confession. His conscience is clear, therefore he cannot hope for any relief from the experience. He and his friend Jacob decide to remedy that situation, but their initially innocent prank turns unexpectedly tragic. ";2010;26;6;NULL;TheConfession.jpg;1900-01-01;0;0;0
5664;"The Crush";;"An 8 year old schoolboy is so besotted with his teacher that he challenges her boyfriend to a duel...to the death. ";2010;15;6;NULL;TheCrush.jpg;1900-01-01;0;0;0
5665;"Na Wewe";;"1994 or thereabouts. There is a civil war on in Burundi. A genocidal conflict opposing Hutus and Tutsis... We are witnesses to one of those sadly frequent episodes : the attack by the rebels of a minibus transporting ordinary passengers. A Kalashnikov bursts out. The bus stops, the passengers get off. There follows a ≪selection≫ separating Hutus and Tutsis. But who is a Hutu, who is a Tutsi? Na Wewe means You Too in Kirundi. ";2010;19;6;NULL;NaWewe.jpg;1900-01-01;0;0;0
5666;"Wish 143";;"Tells the story of a young man desperate to come of age before time runs out. ";2009;24;6;NULL;Wish143.jpg;1900-01-01;0;0;0
5667;"Strangers No More";;"In the heart of Tel Aviv, there is an exceptional school where children from forty-eight different countries and diverse backgrounds come together to learn. Many of the students arrive at Bialik-Rogozin School fleeing poverty, political adversity and even genocide. Here, no child is a stranger. The film follows several students‘ struggle to acclimate to life in a new land while slowly opening up to share their stories of hardship and tragedy: Mohammed, a sixteen-year-old refugee from Darfur, witnessed the killing of his grandmother and father before escaping alone through Egypt to Israel. Having never been in a school before, his sharp mind and tremendous determination enable him to make up the years of study he never had. Johannes arrived at Bialik-Rogozin after spending most of his life in refugee camps across the Middle East. His father struggles to obtain a work visa while twelve-year-old Johannes struggles to adjust to attending school for the first time. After a slow start, his teachers realize that he is nearly blind in one eye and take him to an eye clinic. With his new glasses, before long, he is reading and writing - and helping other newcomers to adjust. After the murder of her mother, Esther and her father fled South Africa with nothing, in search of safety and peace of mind. At Bialik-Rogozin, they are welcomed with clothing, food and counsel on beginning a new life. Esther‘s teachers try to relieve the trauma of a nine-year-old girl who believes her mother will return. With tremendous effort and dedication, the school provides the support these children need to recover from their past. Together, the bond between teacher and student, and amongst the students themselves, enables them to create new lives in this exceptional community. Upon graduation, Mohammed provides the finest evidence of the school‘s ultimate success -- declaring his dream to return to Darfur and build a school for the children of the village he once fled. ";2010;40;6;NULL;StrangersNoMore.jpg;1900-01-01;0;0;0
5668;"Poster Girl";;"Apple pie cheerleader turned tough-as-nails machine gunner in the Iraq War, Sgt. Robynn Murray comes home to face a new kind of battle she never anticipated. ";2010;38;6;NULL;PosterGirl.jpg;1900-01-01;0;0;0
5669;"Killing in the Name";;"In 2005, a suicide bomber walked into Ashraf‘s wedding, killing 27 people. Now he is on a quest to confront terrorism around the globe. ";2010;39;6;NULL;KillingintheName.jpg;1900-01-01;0;0;0
